0.0068 0.0092 -0.0107 0.1944 5.9384 2.3855
0.0130 0.0026 0.0768 0.1394 5.5831 3.1909
0.0184 -0.0035 0.1117 -0.0027 5.6401 1.1254
0.0211 -0.0095 0.1634 -0.1426 5.6438 -0.9252
0.0184 -0.0119 0.2350 -0.2904 5.7652 -2.7020
0.0108 -0.0119 0.1519 -0.2201 4.7872 -2.3313
0.0039 -0.0077 0.0480 -0.1473 3.9188 -2.1917
-0.0029 -0.0020 -0.0720 -0.0862 2.9519 -1.8791
-0.0074 0.0061 -0.1709 0.0595 2.7748 -0.7473
-0.0113 0.0090 -0.2509 0.2148 2.6198 0.2709
-0.0115 0.0097 -0.3252 0.3775 2.4907 1.3939
-0.0078 0.0084 -0.2268 0.3298 2.4379 1.4437
-0.0009 0.0042 -0.1231 0.3069 2.3251 1.7063
0.0066 -0.0017 -0.0172 0.2654 2.1827 1.8382
0.0143 -0.0083 0.1083 0.1150 2.4596 1.1640
0.0203 -0.0149 0.2261 -0.0743 2.6339 0.3963
0.0223 -0.0175 0.3893 -0.2670 2.9442 -0.2844
0.0192 -0.0158 0.3396 -0.2291 2.7010 -0.1220
0.0106 -0.0126 0.2654 -0.2086 2.4657 -0.1710
-0.0005 -0.0070 0.1751 -0.1731 2.3152 -0.0320
-0.0106 -0.0023 0.0376 -0.0282 1.2825 0.0788
-0.0156 0.0050 -0.1136 0.1222 0.3351 0.2008
-0.0159 0.0094 -0.2630 0.2833 -0.5749 0.3073
-0.0138 0.0111 -0.1901 0.2522 -1.1738 1.4358
-0.0070 0.0117 -0.1161 0.2204 -1.5097 2.5892
-0.0010 0.0076 -0.0733 0.2063 -1.9481 3.8619
0.0036 0.0018 0.0179 0.0261 -2.4160 4.0869
0.0086 -0.0033 0.1322 -0.1373 -3.0406 4.2718
0.0106 -0.0077 0.2417 -0.3077 -3.6451 4.4407
0.0074 -0.0073 0.1973 -0.2587 -3.7614 4.1667
0.0004 -0.0042 0.1271 -0.2124 -3.8382 4.0263
-0.0087 0.0012 0.0601 -0.1592 -3.8516 3.7713
-0.0169 0.0081 -0.0654 0.0451 -4.2513 3.8881
-0.0219 0.0141 -0.1568 0.2581 -4.5899 3.5928
-0.0229 0.0185 -0.2528 0.4556 -4.8324 3.6353
-0.0200 0.0209 -0.1576 0.4478 -4.9395 3.7150
-0.0154 0.0200 -0.0822 0.4645 -5.0676 3.8041
-0.0083 0.0161 0.0084 0.4753 -5.1927 3.8295
-0.0025 0.0092 0.0963 0.2730 -6.0965 4.5682
0.0022 0.0000 0.1752 0.0856 -7.0754 5.3575
0.0038 -0.0064 0.2634 -0.1187 -7.9402 5.8387
0.0024 -0.0076 0.2107 -0.1660 -7.7129 5.7980
-0.0036 -0.0045 0.1624 -0.2055 -7.4702 5.8385
-0.0092 0.0019 0.1186 -0.2377 -7.2607 5.8152
-0.0152 0.0084 0.0348 -0.0358 -7.4805 6.2699
-0.0197 0.0176 -0.0592 0.1558 -7.6422 6.6012
-0.0213 0.0243 -0.1712 0.3310 -7.7902 7.1043
-0.0172 0.0272 -0.1316 0.4013 -7.5209 7.9263
-0.0136 0.0283 -0.0936 0.4492 -7.2721 8.4052
-0.0080 0.0264 -0.0512 0.5075 -6.9793 8.8255
-0.0011 0.0221 0.0816 0.3910 -6.4063 9.8728
0.0072 0.0152 0.1815 0.2606 -6.0001 10.5891
0.0140 0.0070 0.3265 0.1376 -5.6372 11.4099
0.0198 0.0005 0.3419 0.0666 -2.3968 10.3390
0.0194 -0.0036 0.3581 0.0045 1.0172 9.1199
0.0159 -0.0020 0.3911 -0.0609 4.2931 7.9439
0.0127 0.0026 0.2874 0.0185 5.0992 5.8118
0.0079 0.0061 0.2156 0.0983 5.8284 3.7088
0.0057 0.0109 0.1193 0.1807 6.6134 1.6699
0.0060 0.0124 0.1668 0.1840 7.6771 0.9909
0.0096 0.0099 0.1383 0.1912 8.5126 0.7540
0.0145 0.0045 0.1771 0.1919 9.4911 0.3460
0.0176 -0.0032 0.2414 0.0889 9.1155 -0.0359
0.0176 -0.0112 0.3392 -0.0373 8.5917 -0.6245
0.0156 -0.0181 0.3893 -0.1169 8.1344 -0.9944
0.0127 -0.0232 0.3770 -0.1581 7.6201 -1.8827
0.0070 -0.0258 0.3260 -0.2058 7.0703 -2.7548
0.0027 -0.0223 0.2511 -0.2529 6.6415 -3.6836
-0.0012 -0.0120 0.1327 -0.1589 6.0419 -3.9162
-0.0024 0.0016 0.0171 -0.1068 5.5752 -4.0393
0.0001 0.0152 -0.0831 -0.0415 4.9955 -4.4042
0.0054 0.0222 -0.0293 0.0395 4.6143 -3.8000
0.0109 0.0215 -0.0177 0.1125 4.2258 -3.3038
0.0151 0.0152 0.0264 0.1755 3.7239 -2.5606
0.0150 0.0052 0.1147 0.1768 3.2451 -1.7648
0.0098 -0.0009 0.2001 0.1808 2.6973 -0.7616
0.0051 -0.0088 0.3178 0.1963 2.1193 0.2173
-0.0007 -0.0145 0.3346 0.1565 1.8779 0.7620
-0.0052 -0.0156 0.3494 0.1175 1.6825 1.3440
-0.0080 -0.0126 0.3975 0.0829 1.4430 1.9413
-0.0037 -0.0028 0.2882 0.0628 1.3990 2.3822
