year  month  day  hour obs_lon obs_lat model_lon model_lat velocity_U velocity_V wind_u wind_v
2016  4 18 23   126.000600    33.169500   126.000600    33.169500 -0.0099 0.2075 6.0221 2.3802
2016  4 19  0   126.007400    33.178700   126.007800    33.177800 0.0629 0.1425 5.8157 3.1360
2016  4 19  1   126.020400    33.181300   126.017100    33.181700 0.1134 -0.0057 5.7996 1.1240
2016  4 19  2   126.038800    33.177800   126.029700    33.178800 0.1799 -0.1523 5.8156 -0.8619
2016  4 19  3   126.059900    33.168300   126.045700    33.169200 0.2623 -0.2966 5.8761 -2.7217
2016  4 19  4   126.078300    33.156400   126.059700    33.158600 0.1597 -0.2244 4.9134 -2.3756
2016  4 19  5   126.089100    33.144500   126.069200    33.150700 0.0535 -0.1528 3.9826 -2.1033
2016  4 19  6   126.093000    33.136800   126.072700    33.145200 -0.0617 -0.0837 3.0603 -1.9834
2016  4 19  7   126.090100    33.134800   126.071000    33.144100 -0.1618 0.0672 2.8986 -0.8505
2016  4 19  8   126.082700    33.140900   126.064900    33.149000 -0.2593 0.2223 2.7372 0.2840
2016  4 19  9   126.071400    33.149900   126.054300    33.160100 -0.3503 0.3866 2.5727 1.4311
2016  4 19 10   126.059900    33.159600   126.044700    33.173400 -0.2365 0.3507 2.4758 1.5469
2016  4 19 11   126.052100    33.168000   126.039400    33.185800 -0.1260 0.3126 2.3705 1.6753
2016  4 19 12   126.051200    33.172200   126.038000    33.196900 -0.0210 0.2726 2.2637 1.8220
2016  4 19 13   126.057800    33.170500   126.041400    33.204000 0.1070 0.1013 2.4808 1.1487
2016  4 19 14   126.072100    33.162200   126.051200    33.204800 0.2436 -0.0794 2.7378 0.4450
2016  4 19 15   126.092400    33.147300   126.067400    33.199000 0.3980 -0.2640 3.0223 -0.2439
2016  4 19 16   126.114700    33.129800   126.085300    33.191000 0.3438 -0.2390 2.7865 -0.1723
2016  4 19 17   126.133900    33.114000   126.100000    33.183700 0.2709 -0.2099 2.5459 -0.1409
2016  4 19 18   126.144500    33.101400   126.111500    33.177500 0.1845 -0.1800 2.3163 -0.1642
2016  4 19 19   126.144000    33.094400   126.117400    33.174700 0.0289 -0.0231 1.3619 0.0100
2016  4 19 20   126.133400    33.092100   126.115100    33.177000 -0.1247 0.1325 0.3343 0.1872
2016  4 19 21   126.117800    33.097100   126.105800    33.184500 -0.2704 0.2924 -0.6563 0.3541
2016  4 19 22   126.101900    33.106500   126.094800    33.194300 -0.1904 0.2605 -1.1225 1.4301
2016  4 19 23   126.088100    33.117600   126.085900    33.204000 -0.1260 0.2292 -1.5607 2.5623
2016  4 20  0   126.081100    33.129300   126.079200    33.213900 -0.0723 0.2030 -1.9889 3.7409
2016  4 20  1   126.080100    33.136900   126.074500    33.220900 0.0311 0.0318 -2.5653 3.9738
2016  4 20  2   126.083700    33.138700   126.074100    33.222700 0.1355 -0.1446 -3.1613 4.1799
2016  4 20  3   126.092300    33.135400   126.077700    33.219000 0.2442 -0.3207 -3.7544 4.3653
2016  4 20  4   126.102900    33.127700   126.081500    33.213800 0.1904 -0.2712 -3.8436 4.1932
2016  4 20  5   126.110300    33.120400   126.082400    33.210100 0.1246 -0.2165 -3.9290 4.0468
2016  4 20  6   126.110700    33.116200   126.081200    33.208000 0.0576 -0.1594 -4.0053 3.8800
2016  4 20  7   126.102000    33.117400   126.074800    33.210600 -0.0637 0.0502 -4.3167 3.7705
2016  4 20  8   126.085100    33.125500   126.063000    33.219900 -0.1691 0.2639 -4.6346 3.6806
2016  4 20  9   126.063200    33.139600   126.047200    33.235900 -0.2585 0.4737 -4.9367 3.6120
2016  4 20 10   126.040300    33.158100   126.031000    33.254400 -0.1644 0.4683 -5.0517 3.6972
2016  4 20 11   126.020300    33.179000   126.018400    33.273100 -0.0851 0.4767 -5.1743 3.7960
