year  month  day  hour obs_lon obs_lat model_lon model_lat velocity_U velocity_V wind_u wind_v
2016  4 19  0   126.004500    33.002600   126.004500    33.002600 0.0733 0.1788 5.8203 2.1727
2016  4 19  1   126.018500    33.004300   126.014400    33.008000 0.1375 0.0593 5.7669 1.6123
2016  4 19  2   126.037900    33.002100   126.026800    33.009000 0.2034 -0.0629 5.7238 1.0087
2016  4 19  3   126.059100    32.997300   126.042900    33.005500 0.2713 -0.1845 5.6540 0.6011
2016  4 19  4   126.077800    32.989800   126.056700    33.000400 0.1487 -0.1473 4.7702 -0.2803
2016  4 19  5   126.090600    32.980800   126.064600    32.995700 0.0198 -0.1054 3.9169 -1.3008
2016  4 19  6   126.094700    32.973200   126.066600    32.991200 -0.1093 -0.0623 3.0658 -2.3873
2016  4 19  7   126.091700    32.969800   126.063300    32.989800 -0.2060 0.0553 2.9771 -1.1860
2016  4 19  8   126.082000    32.971000   126.055600    32.993500 -0.3013 0.1761 2.8760 0.0481
2016  4 19  9   126.071000    32.978700   126.044200    33.002500 -0.3920 0.3045 2.7536 1.3112
2016  4 19 10   126.061500    32.989400   126.033400    33.013200 -0.2740 0.2822 2.6388 1.3199
2016  4 19 11   126.057000    32.998500   126.026900    33.023400 -0.1570 0.2627 2.5213 1.3625
2016  4 19 12   126.060500    33.005200   126.024700    33.032800 -0.0420 0.2392 2.4381 1.3921
2016  4 19 13   126.071900    33.008800   126.027900    33.039700 0.0854 0.1226 2.6407 1.0741
2016  4 19 14   126.091800    33.008200   126.036300    33.042400 0.2163 0.0046 2.8435 0.7358
2016  4 19 15   126.117800    33.003200   126.051100    33.040900 0.3499 -0.1165 3.0515 0.3833
2016  4 19 16   126.144200    32.994000   126.065900    33.038000 0.2733 -0.0966 2.9651 0.4648
2016  4 19 17   126.166800    32.984700   126.078200    33.035900 0.1924 -0.0740 2.8915 0.5407
2016  4 19 18   126.181300    32.978200   126.086500    33.034500 0.1099 -0.0500 2.8023 0.6189
2016  4 19 19   126.185600    32.974400   126.090100    33.035600 -0.0106 0.0520 1.7088 0.6804
2016  4 19 20   126.181200    32.974100   126.087300    33.040000 -0.1293 0.1558 0.6088 0.7637
2016  4 19 21   126.171700    32.978000   126.078100    33.047900 -0.2433 0.2621 -0.4785 0.8337
2016  4 19 22   126.161300    32.984400   126.068700    33.057000 -0.1607 0.2283 -0.9993 1.6140
2016  4 19 23   126.152200    32.992900   126.061300    33.065900 -0.0797 0.1955 -1.5111 2.4203
2016  4 20  0   126.147500    33.000900   126.057100    33.074700 0.0141 0.1724 -2.0193 3.2424
2016  4 20  1   126.149600    33.006900   126.055700    33.081300 0.1153 0.0379 -2.5614 3.5115
2016  4 20  2   126.156800    33.007800   126.058500    33.083700 0.2158 -0.0964 -3.1089 3.7414
2016  4 20  3   126.167900    33.004800   126.064800    33.081900 0.3207 -0.2343 -3.6585 3.9660
2016  4 20  4   126.179700    33.000100   126.070900    33.078700 0.2306 -0.2047 -3.6937 3.7153
2016  4 20  5   126.187600    32.995200   126.073000    33.076100 0.1402 -0.1772 -3.7337 3.4826
2016  4 20  6   126.188500    32.994100   126.072000    33.074400 0.0406 -0.1412 -3.7632 3.2175
2016  4 20  7   126.181400    32.997700   126.065000    33.076000 -0.0921 0.0191 -4.0222 3.2831
2016  4 20  8   126.167200    33.005700   126.052700    33.083000 -0.2228 0.1873 -4.2772 3.3466
