year  month  day  hour obs_lon obs_lat model_lon model_lat velocity_U velocity_V wind_u wind_v
2016  4 18 23   125.837500    33.177400   125.837500    33.177400 -0.0238 0.1985 5.9224 3.0367
2016  4 19  0   125.847300    33.188200   125.843400    33.186300 0.0502 0.1496 5.6320 3.7975
2016  4 19  1   125.862400    33.192800   125.852700    33.190800 0.1041 0.0016 5.6218 1.4728
2016  4 19  2   125.880200    33.192500   125.864000    33.188300 0.1584 -0.1434 5.6099 -0.8160
2016  4 19  3   125.900200    33.186300   125.878600    33.178800 0.2081 -0.2863 5.6534 -3.0179
2016  4 19  4   125.918600    33.175100   125.891000    33.167900 0.1058 -0.2372 4.6448 -2.4274
2016  4 19  5   125.931200    33.161100   125.897600    33.159000 0.0045 -0.1873 3.5860 -1.8903
2016  4 19  6   125.935100    33.150300   125.899600    33.152400 -0.1039 -0.1383 2.5151 -1.4407
2016  4 19  7   125.933000    33.147000   125.896300    33.150300 -0.1807 0.0287 2.4823 -0.3494
2016  4 19  8   125.926700    33.151900   125.889400    33.154500 -0.2550 0.1896 2.4352 0.7624
2016  4 19  9   125.917500    33.161300   125.879000    33.165000 -0.3303 0.3428 2.3823 1.8740
2016  4 19 10   125.908200    33.172800   125.869800    33.177600 -0.2237 0.3197 2.2922 2.0154
2016  4 19 11   125.902900    33.183900   125.864500    33.189700 -0.1191 0.3061 2.2073 2.1679
2016  4 19 12   125.904600    33.191600   125.863100    33.201700 -0.0162 0.3001 2.1288 2.3240
2016  4 19 13   125.913800    33.193500   125.866000    33.210300 0.0967 0.1419 2.3332 1.6419
2016  4 19 14   125.929100    33.188600   125.874800    33.213200 0.2149 -0.0145 2.5653 0.9021
2016  4 19 15   125.948000    33.177100   125.888500    33.210200 0.3336 -0.1737 2.7988 0.1623
2016  4 19 16   125.967000    33.161200   125.903200    33.204700 0.2733 -0.1826 2.5755 0.3075
2016  4 19 17   125.982300    33.145400   125.915300    33.199100 0.2091 -0.1905 2.3594 0.4631
2016  4 19 18   125.990300    33.132800   125.924600    33.193400 0.1435 -0.1950 2.1434 0.6134
2016  4 19 19   125.990600    33.126400   125.929500    33.190400 0.0263 -0.0506 1.2634 0.5864
2016  4 19 20   125.983700    33.126900   125.927700    33.191900 -0.0915 0.0824 0.3359 0.5501
2016  4 19 21   125.973000    33.134200   125.920300    33.197700 -0.2077 0.2162 -0.5755 0.5079
2016  4 19 22   125.960400    33.145200   125.911500    33.205900 -0.1555 0.2216 -0.9195 1.6049
