year  month  day  hour obs_lon obs_lat model_lon model_lat velocity_U velocity_V wind_u wind_v
2016  4 19  0   126.165500    32.999900   126.165500    32.999900 0.1141 0.0994 5.6565 1.5493
2016  4 19  1   126.180300    33.000700   126.177600    33.002600 0.1863 -0.0066 5.5878 1.2712
2016  4 19  2   126.201300    32.998800   126.192500    33.001500 0.2666 -0.1127 5.5020 0.9855
2016  4 19  3   126.224900    32.995400   126.211100    32.996800 0.3442 -0.2093 5.4041 0.8053
2016  4 19  4   126.245200    32.990000   126.227100    32.990900 0.1977 -0.1692 4.7599 -0.2744
2016  4 19  5   126.260100    32.983500   126.236700    32.985200 0.0470 -0.1331 4.1590 -1.4069
2016  4 19  6   126.267000    32.977800   126.239700    32.979500 -0.1053 -0.0985 3.5764 -2.5886
2016  4 19  7   126.264500    32.973700   126.236800    32.976300 -0.2177 -0.0013 3.4035 -1.5329
2016  4 19  8   126.254400    32.973700   126.229300    32.977400 -0.3294 0.0982 3.2352 -0.4681
2016  4 19  9   126.243000    32.978300   126.216800    32.982800 -0.4418 0.2027 3.0577 0.6446
2016  4 19 10   126.233000    32.984100   126.205500    32.990000 -0.3016 0.2003 2.9604 0.7025
2016  4 19 11   126.227000    32.989000   126.199400    32.997000 -0.1627 0.1882 2.8852 0.7209
2016  4 19 12   126.228800    32.992100   126.198100    33.003600 -0.0208 0.1719 2.8206 0.7457
2016  4 19 13   126.240200    32.992600   126.203700    33.008200 0.1316 0.0874 3.0006 0.5695
2016  4 19 14   126.260200    32.989400   126.215100    33.009900 0.2985 0.0035 3.2048 0.3863
2016  4 19 15   126.285600    32.984300   126.233800    33.008900 0.4789 -0.0608 3.4433 0.1965
2016  4 19 16   126.309900    32.978000   126.253900    33.007500 0.3770 -0.0368 3.3429 0.2107
2016  4 19 17   126.329500    32.972000   126.269700    33.006600 0.2862 -0.0237 3.2496 0.1969
2016  4 19 18   126.339900    32.967300   126.281800    33.005900 0.1905 -0.0221 3.1319 0.1774
2016  4 19 19   126.340300    32.964700   126.288300    33.006400 0.0442 0.0280 1.8623 0.3454
2016  4 19 20   126.332900    32.964200   126.287000    33.008500 -0.1033 0.0630 0.5838 0.5097
2016  4 19 21   126.321400    32.966500   126.278900    33.012100 -0.2603 0.1101 -0.6901 0.7000
2016  4 19 22   126.309200    32.971100   126.269000    33.016500 -0.1645 0.0942 -1.1979 1.3705
2016  4 19 23   126.298400    32.976300   126.262300    33.021100 -0.0600 0.0774 -1.7196 2.0537
2016  4 20  0   126.292800    32.982400   126.259200    33.025700 0.0497 0.0618 -2.2477 2.7568
2016  4 20  1   126.294100    32.987400   126.261200    33.028900 0.2037 -0.0197 -2.6669 3.0749
2016  4 20  2   126.301300    32.990100   126.268700    33.029900 0.3610 -0.0884 -3.0799 3.3985
2016  4 20  3   126.312600    32.990900   126.281900    33.029300 0.5199 -0.1254 -3.4810 3.7238
2016  4 20  4   126.324100    32.991000   126.294900    33.029000 0.4038 -0.0876 -3.5403 3.5593
2016  4 20  5   126.330900    32.991200   126.303500    33.029000 0.2935 -0.0881 -3.6164 3.4066
2016  4 20  6   126.330300    32.994000   126.307700    33.029100 0.1826 -0.0881 -3.6980 3.2582
