@relation whatever

@attribute obs_lat numeric
@attribute velocity_U numeric
@attribute velocity_V numeric
@attribute wind_U numeric
@attribute wind_V numeric


@data
-0.0033 , 0.1451 , -0.0288 , 4.0930 , -1.4893
-0.0015 , -0.0238 , -0.0642 , 4.1615 , -0.9618
-0.0002 , -0.1849 , -0.1111 , 3.7471 , -0.2415
0.0005 , -0.4146 , -0.1876 , 3.3282 , 0.5314
0.0017 , -0.9455 , -0.2430 , 2.8611 , 1.4706
0.0039 , -0.6582 , 0.4393 , 2.7956 , 1.3870
0.0055 , -0.3839 , 0.3434 , 2.8706 , 1.1166
0.0034 , -0.2206 , 0.2889 , 3.0384 , 0.7638
0.0008 , 0.0539 , 0.0909 , 3.5649 , 1.0826
-0.0004 , 0.3168 , -0.2015 , 4.0778 , 1.3775
-0.0017 , 0.7682 , -0.6554 , 4.5437 , 1.6545
0.0124 , -0.2445 , 0.2877 , 6.0412 , -0.3394
0.0117 , -0.1438 , 0.2487 , 5.9728 , 0.2111
0.0088 , -0.0431 , 0.2084 , 5.9007 , 0.7993
0.0028 , 0.0541 , 0.1663 , 5.8075 , 1.3630
-0.0016 , 0.1158 , 0.0655 , 5.6406 , 1.6618
-0.0035 , 0.1780 , -0.0315 , 5.4757 , 1.9440
-0.0040 , 0.2379 , -0.1301 , 5.3103 , 2.2345
-0.0050 , 0.1218 , -0.1026 , 4.5087 , 0.5560
-0.0062 , 0.0062 , -0.0700 , 3.7143 , -1.1122
-0.0028 , -0.1096 , -0.0362 , 2.9278 , -2.7939
0.0010 , -0.1861 , 0.0616 , 2.8607 , -1.6418
0.0046 , -0.2567 , 0.1639 , 2.7601 , -0.4690
0.0083 , -0.3332 , 0.2660 , 2.6829 , 0.7359
0.0090 , -0.2147 , 0.2415 , 2.5187 , 0.7947
0.0070 , -0.1009 , 0.2138 , 2.3789 , 0.8337
0.0047 , 0.0134 , 0.1839 , 2.2496 , 0.8255
-0.0004 , 0.1093 , 0.0798 , 2.4556 , 0.7936
-0.0044 , 0.2096 , -0.0259 , 2.6545 , 0.7309
-0.0070 , 0.3125 , -0.1304 , 2.8430 , 0.6794
-0.0073 , 0.2132 , -0.1086 , 2.7567 , 0.7083
-0.0052 , 0.1134 , -0.0855 , 2.6924 , 0.7269
-0.0027 , 0.0122 , -0.0665 , 2.6090 , 0.7522
0.0007 , -0.0888 , 0.0295 , 1.5428 , 0.7347
0.0041 , -0.1904 , 0.1287 , 0.4779 , 0.7335
0.0062 , -0.2948 , 0.2326 , -0.5852 , 0.7420
0.0084 , -0.2023 , 0.2176 , -1.0558 , 1.4115
0.0089 , -0.1101 , 0.2021 , -1.5253 , 2.0625
0.0049 , -0.0195 , 0.1851 , -1.9981 , 2.7389
0.0013 , 0.0788 , 0.0828 , -2.4959 , 3.0971
-0.0022 , 0.1794 , -0.0298 , -3.0037 , 3.4445
-0.0045 , 0.2799 , -0.1377 , -3.5045 , 3.7766
-0.0043 , 0.1855 , -0.1258 , -3.5282 , 3.3885
-0.0008 , 0.0902 , -0.1104 , -3.5524 , 3.0046
0.0041 , -0.0050 , -0.0949 , -3.5765 , 2.6206
0.0097 , -0.1312 , 0.0389 , -3.7995 , 2.8322
0.0140 , -0.2563 , 0.1738 , -4.0252 , 3.0674
0.0174 , -0.3734 , 0.3155 , -4.2499 , 3.3126
0.0186 , -0.2761 , 0.3388 , -4.7624 , 3.3445
0.0177 , -0.1848 , 0.3639 , -5.2977 , 3.3813
0.0138 , -0.0988 , 0.3864 , -5.8427 , 3.4169
0.0077 , 0.0292 , 0.2636 , -6.6495 , 4.0049
0.0029 , 0.1584 , 0.1347 , -7.4368 , 4.5987
-0.0017 , 0.2883 , 0.0025 , -8.2097 , 5.1794
-0.0032 , 0.2342 , -0.0172 , -7.6714 , 5.3178
-0.0008 , 0.1810 , -0.0374 , -7.1396 , 5.4435
0.0037 , 0.1260 , -0.0583 , -6.6018 , 5.5577
0.0110 , -0.0156 , 0.0802 , -6.6900 , 6.3514
0.0155 , -0.1357 , 0.2159 , -6.7948 , 7.1254
0.0206 , -0.2659 , 0.3533 , -6.8188 , 7.8786
0.0237 , -0.2159 , 0.4021 , -6.9548 , 8.2221
0.0232 , -0.1617 , 0.4569 , -7.1223 , 8.5980
0.0220 , -0.1044 , 0.5116 , -7.3404 , 9.0066
0.0173 , 0.0214 , 0.3624 , -5.9264 , 9.8625
0.0099 , 0.1501 , 0.2142 , -4.5584 , 10.7203
0.0019 , 0.2804 , 0.0744 , -3.2843 , 11.5661
-0.0012 , 0.2734 , 0.0062 , -0.4294 , 10.4519
-0.0030 , 0.2703 , -0.0639 , 2.5219 , 9.3761
-0.0003 , 0.2699 , -0.1283 , 5.5748 , 8.3404
0.0026 , 0.1524 , 0.0015 , 5.5057 , 7.0175
0.0059 , 0.0419 , 0.1345 , 5.4451 , 5.6963
0.0111 , -0.0684 , 0.2602 , 5.4268 , 4.2431
0.0114 , -0.0302 , 0.2891 , 6.7409 , 2.8756
0.0080 , 0.0155 , 0.3184 , 8.0722 , 1.5473
0.0025 , 0.0582 , 0.3502 , 9.3926 , 0.2801
-0.0070 , 0.1631 , 0.1537 , 9.3176 , -0.0919
-0.0161 , 0.2649 , -0.0557 , 9.2399 , -0.4867
-0.0235 , 0.3609 , -0.2823 , 9.1991 , -0.9375
-0.0261 , 0.3068 , -0.3748 , 8.8127 , -2.1750
-0.0239 , 0.2604 , -0.4633 , 8.4506 , -3.4132
-0.0187 , 0.2380 , -0.5477 , 8.1312 , -4.6414
-0.0106 , 0.0830 , -0.2982 , 7.6411 , -4.6563
-0.0041 , -0.0991 , -0.0399 , 7.1120 , -4.6970
0.0043 , -0.2911 , 0.2103 , 6.5574 , -4.7346
0.0098 , -0.2877 , 0.3189 , 6.1139 , -4.0280
0.0117 , -0.2746 , 0.4389 , 5.6590 , -3.3124
0.0098 , -0.2556 , 0.5693 , 5.2158 , -2.6098
0.0069 , -0.0917 , 0.3938 , 4.5865 , -2.2118
0.0011 , 0.0402 , 0.1932 , 4.0026 , -1.8391
-0.0044 , 0.1596 , -0.0404 , 3.4100 , -1.4775
-0.0083 , 0.1851 , -0.1642 , 3.3329 , -0.7163
-0.0082 , 0.2351 , -0.2793 , 3.3139 , -0.0580
-0.0055 , 0.2889 , -0.3802 , 3.3093 , 0.5197
-0.0007 , 0.1483 , -0.1545 , 2.9277 , 1.1501
0.0031 , -0.0001 , 0.0836 , 2.5269 , 1.8459
0.0065 , -0.1419 , 0.3320 , 2.0836 , 2.5933
0.0101 , -0.1459 , 0.4313 , 2.3312 , 2.2335
0.0142 , -0.1540 , 0.5610 , 2.6238 , 1.8731
0.0131 , -0.1389 , 0.7300 , 2.9376 , 1.6280
0.0070 , 0.0792 , 0.5086 , 3.5357 , 1.8875
-0.0018 , 0.1220 , 0.2435 , 4.1025 , 2.0525
-0.0084 , 0.0699 , -0.0364 , 4.6436 , 2.1769
-0.0150 , -0.0486 , -0.2970 , 3.7886 , 1.6985
-0.0153 , -0.1923 , -0.6589 , 3.0082 , 1.1520
0.0126 , -0.2452 , 0.3567 , 6.1150 , 0.1045
0.0117 , -0.1482 , 0.3151 , 6.0217 , 0.7456
0.0074 , -0.0502 , 0.2773 , 5.9106 , 1.3734
0.0013 , 0.0450 , 0.2409 , 5.7832 , 2.0193
-0.0032 , 0.0999 , 0.1290 , 5.6034 , 2.1412
-0.0054 , 0.1574 , 0.0201 , 5.4451 , 2.2110
-0.0070 , 0.2165 , -0.0851 , 5.2864 , 2.3029
-0.0076 , 0.1120 , -0.0608 , 4.3301 , 0.6522
-0.0093 , 0.0063 , -0.0364 , 3.3738 , -0.9948
-0.0059 , -0.1041 , -0.0116 , 2.4025 , -2.6623
-0.0009 , -0.1723 , 0.1023 , 2.3385 , -1.4011
0.0034 , -0.2436 , 0.2141 , 2.2461 , -0.0961
0.0073 , -0.3107 , 0.3266 , 2.1877 , 1.2394
0.0088 , -0.2005 , 0.3050 , 2.0488 , 1.2973
0.0077 , -0.0891 , 0.2839 , 1.9337 , 1.3397
0.0048 , 0.0227 , 0.2620 , 1.8376 , 1.3670
0.0011 , 0.1185 , 0.1390 , 2.0954 , 1.2795
-0.0037 , 0.2162 , 0.0151 , 2.3502 , 1.1623
-0.0065 , 0.3159 , -0.1086 , 2.6030 , 1.0077
-0.0068 , 0.2325 , -0.1106 , 2.4724 , 0.9707
-0.0058 , 0.1448 , -0.1115 , 2.3331 , 0.9728
-0.0030 , 0.0555 , -0.1082 , 2.1887 , 0.9816
0.0013 , -0.0575 , 0.0096 , 1.2693 , 0.9525
0.0060 , -0.1708 , 0.1267 , 0.3292 , 0.9351
0.0095 , -0.2828 , 0.2444 , -0.6068 , 0.9286
0.0114 , -0.2002 , 0.2452 , -1.0139 , 1.5688
0.0105 , -0.1202 , 0.2486 , -1.4080 , 2.2197
0.0071 , -0.0404 , 0.2522 , -1.7930 , 2.8804
0.0029 , 0.0581 , 0.1352 , -2.3450 , 3.2436
0.0001 , 0.1573 , 0.0174 , -2.9098 , 3.6028
-0.0031 , 0.2573 , -0.1011 , -3.4850 , 3.9562
-0.0023 , 0.1821 , -0.0992 , -3.5498 , 3.4994
0.0004 , 0.1064 , -0.0969 , -3.6161 , 3.0453
0.0043 , 0.0315 , -0.0955 , -3.6795 , 2.5859
0.0098 , -0.0826 , 0.0414 , -3.8976 , 2.8517
0.0136 , -0.1951 , 0.1792 , -4.1244 , 3.1344
0.0174 , -0.3040 , 0.3181 , -4.3626 , 3.4285
0.0199 , -0.2216 , 0.3471 , -4.9908 , 3.4881
0.0196 , -0.1433 , 0.3802 , -5.6050 , 3.5488
0.0162 , -0.0664 , 0.4185 , -6.2084 , 3.6131
0.0104 , 0.0524 , 0.2869 , -6.9393 , 4.2617
0.0044 , 0.1795 , 0.1527 , -7.6723 , 4.9145
-0.0015 , 0.3015 , 0.0135 , -8.4031 , 5.5721
-0.0030 , 0.2513 , -0.0313 , -7.8455 , 5.7878
-0.0004 , 0.1995 , -0.0751 , -7.2918 , 5.9876
0.0028 , 0.1494 , -0.1210 , -6.7500 , 6.1902
0.0097 , 0.0156 , 0.0107 , -6.4833 , 6.8266
0.0159 , -0.1177 , 0.1378 , -6.1736 , 7.4413
0.0210 , -0.2501 , 0.2630 , -5.7642 , 8.0096
0.0249 , -0.2121 , 0.3309 , -6.1640 , 8.3826
0.0277 , -0.1717 , 0.4055 , -6.5940 , 8.7999
0.0266 , -0.1288 , 0.4790 , -7.0828 , 9.2496
0.0219 , 0.0147 , 0.3387 , -5.3469 , 10.1803
0.0152 , 0.1493 , 0.1964 , -3.6878 , 11.1242
0.0069 , 0.2757 , 0.0563 , -2.1290 , 12.0531
0.0020 , 0.2754 , -0.0324 , 0.3464 , 10.7098
-0.0025 , 0.2798 , -0.1170 , 2.8716 , 9.3893
-0.0016 , 0.2762 , -0.2000 , 5.5211 , 8.1092
0.0007 , 0.1531 , -0.0832 , 5.5348 , 6.4832
0.0033 , 0.0337 , 0.0334 , 5.5722 , 4.8017
0.0082 , -0.0842 , 0.1514 , 5.6363 , 3.0851
0.0085 , -0.0564 , 0.1992 , 6.8274 , 1.9423
0.0064 , -0.0264 , 0.2467 , 8.0347 , 0.7826
0.0005 , 0.0003 , 0.2936 , 9.2079 , -0.2996
-0.0096 , 0.1173 , 0.1197 , 9.1717 , -0.5672
-0.0175 , 0.2328 , -0.0580 , 9.1156 , -0.8269
-0.0244 , 0.3479 , -0.2418 , 9.0673 , -1.0684
-0.0284 , 0.3112 , -0.3401 , 8.6465 , -2.2921
-0.0287 , 0.2657 , -0.4330 , 8.2548 , -3.5473
-0.0235 , 0.2154 , -0.5191 , 7.8797 , -4.8304
-0.0141 , 0.0416 , -0.2998 , 7.2776 , -4.7175
-0.0070 , -0.1261 , -0.0938 , 6.6361 , -4.6266
0.0013 , -0.2966 , 0.1023 , 5.9672 , -4.5441
0.0075 , -0.2853 , 0.2343 , 5.6425 , -3.5866
0.0092 , -0.2703 , 0.3711 , 5.3020 , -2.6286
0.0086 , -0.2553 , 0.5142 , 4.9616 , -1.6629
0.0064 , -0.1034 , 0.3795 , 4.5895 , -1.4398
0.0008 , 0.0493 , 0.2479 , 4.2403 , -1.2163
-0.0047 , 0.2009 , 0.1120 , 3.8769 , -0.9801
-0.0094 , 0.2217 , 0.0003 , 3.7580 , -0.0929
-0.0095 , 0.2412 , -0.1076 , 3.6569 , 0.7588
-0.0064 , 0.2642 , -0.2143 , 3.5490 , 1.5979
-0.0021 , 0.1432 , -0.0682 , 3.2090 , 2.2359
0.0005 , 0.0270 , 0.0805 , 2.8520 , 2.9339
0.0045 , -0.0868 , 0.2258 , 2.5102 , 3.6440
0.0097 , -0.0765 , 0.3149 , 2.4399 , 3.2551
0.0151 , -0.0744 , 0.4053 , 2.3839 , 2.9083
0.0142 , -0.0641 , 0.4904 , 2.3285 , 2.5899
0.0098 , 0.0691 , 0.3185 , 3.0939 , 2.5957
0.0017 , 0.1985 , 0.1510 , 3.8820 , 2.5336
-0.0062 , 0.3170 , -0.0282 , 4.6668 , 2.4597
-0.0099 , 0.2899 , -0.1764 , 3.8581 , 2.2555
